epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.538,3.8101,5.50038,3.02674,0,0,0,0,3.72457,7.8892,3.26731,2e-05,2e-05,2e-05
2,264.597,3.01649,4.38076,3.08867,0,0,0,0,3.80541,7.10367,3.39619,5.2575e-05,5.2575e-05,5.2575e-05
3,396.982,3.14088,3.52351,3.06285,0,0,0,0,3.6533,6.11615,3.3938,7.525e-05,7.525e-05,7.525e-05
4,538.691,2.97312,5.2347,3.08317,0.02817,0.05,0.01674,0.00613,3.61934,6.29395,3.31704,8.8025e-05,8.8025e-05,8.8025e-05
5,673.562,3.1613,3.08995,2.94733,0.04762,0.05,0.02765,0.01124,3.48125,6.14377,3.18087,9.09e-05,9.09e-05,9.09e-05
6,799.791,2.94175,2.8248,2.99429,0.03846,0.05,0.03194,0.01158,3.16687,5.97907,3.12292,8.3875e-05,8.3875e-05,8.3875e-05
7,921.995,2.76771,2.67728,2.73302,0.05085,0.075,0.04948,0.01669,3.03718,5.66434,3.11314,6.695e-05,6.695e-05,6.695e-05
8,1054.97,3.0217,2.9748,2.89019,0.04688,0.075,0.04649,0.01298,3.01557,5.59487,3.09386,4.0125e-05,4.0125e-05,4.0125e-05
