epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.69082,3.09701,5.44483,4.29282,0,0,0,0,3.37882,5.96472,4.1588,0,0,0
2,9.59819,3.07382,5.54411,4.29336,0,0,0,0,3.37898,5.9648,4.15873,9.5438e-07,9.5438e-07,9.5438e-07
3,14.5174,3.14141,5.50271,4.25801,0,0,0,0,3.37914,5.96489,4.15866,1.43752e-06,1.43752e-06,1.43752e-06
4,19.677,3.00954,5.4134,4.37948,0,0,0,0,3.37931,5.96498,4.15859,1.44942e-06,1.44942e-06,1.44942e-06
5,24.7667,3.47375,5.34912,4.28306,0,0,0,0,3.37947,5.96518,4.15851,9.9008e-07,9.9008e-07,9.9008e-07
